direction,prize_topic,citation_topic,prize_domain,citation_domain,prize_paper_field,citation_paper_field,count,sample_prize_paper_id,sample_prize_paper_title,sample_citation_paper_id,sample_citation_paper_title
prize_paper_references_citation_paper,"Biochemistry, Genetics and Molecular Biology",Materials Science,Life Sciences,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Materials Science,76,W2314460680,Über den Mechanismus der Oxydationsvorgänge,W2002183338,Le Mécanisme D'Action des Ferments Oxydants Et des Ferments Réducteurs
prize_paper_references_citation_paper,"Biochemistry, Genetics and Molecular Biology",Earth and Planetary Sciences,Life Sciences,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Earth and Planetary Sciences,14,W2314460680,Über den Mechanismus der Oxydationsvorgänge,W2010890917,Über Verbrennung der Oxalsäure an Blutkohle und die Hemmung dieser Reaktion durch indifferente Narkotika
prize_paper_references_citation_paper,"Biochemistry, Genetics and Molecular Biology",Arts and Humanities,Life Sciences,Social Sciences,"Biochemistry, Genetics and Molecular Biology",Arts and Humanities,6,W2314460680,Über den Mechanismus der Oxydationsvorgänge,W2073406286,Über die Atmung der Froschmuskulatur
prize_paper_references_citation_paper,"Biochemistry, Genetics and Molecular Biology",Engineering,Life Sciences,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Engineering,40,W2314460680,Über den Mechanismus der Oxydationsvorgänge,W2318662425,Über das Gärungscoferment im Tierkörper. 2. Mitteilung
prize_paper_references_citation_paper,"Biochemistry, Genetics and Molecular Biology",Agricultural and Biological Sciences,Life Sciences,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Agricultural and Biological Sciences,132,W2314460680,Über den Mechanismus der Oxydationsvorgänge,W2326627071,Über die Reduktion des Furfurols durch Hefe bei der alkoholischen Gärung.
prize_paper_references_citation_paper,"Biochemistry, Genetics and Molecular Biology",Unknown Citation Field,Life Sciences,Unknown Domain,"Biochemistry, Genetics and Molecular Biology",,43,W2314460680,Über den Mechanismus der Oxydationsvorgänge,W2328722759,Über das Vorkommen von Bernsteinsäure im Fleischextrakt und im frischen Fleische.
prize_paper_references_citation_paper,"Biochemistry, Genetics and Molecular Biology","Pharmacology, Toxicology and Pharmaceutics",Life Sciences,Life Sciences,"Biochemistry, Genetics and Molecular Biology","Pharmacology, Toxicology and Pharmaceutics",12,W2314460680,Über den Mechanismus der Oxydationsvorgänge,W2331361741,Mechanismus der Giftwirkung aromatischer Nitroverbindungen
prize_paper_references_citation_paper,"Biochemistry, Genetics and Molecular Biology",Immunology and Microbiology,Life Sciences,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Immunology and Microbiology,51,W2314460680,Über den Mechanismus der Oxydationsvorgänge,W2977815843,Erhaltung der Funktionen aerober Zellen bei Ersatz des freien Sauerstoffs durch chemisch gebundenen: „Pseudoanoxybiose“
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Materials Science,Life Sciences,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Materials Science,5579,W2162734772,A STUDY OF TISSUE CULTURE CELLS BY ELECTRON MICROSCOPY,W2168365305,A STUDY OF FIXATION FOR ELECTRON MICROSCOPY
citation_paper_cites_prize_paper,Neuroscience,Neuroscience,Life Sciences,Life Sciences,Neuroscience,Neuroscience,47855,W2116360511,"Receptive fields, binocular interaction and functional architecture in the cat's visual cortex",W2085319761,Coherent oscillations: A mechanism of feature linking in the visual cortex?
citation_paper_cites_prize_paper,Neuroscience,Computer Science,Life Sciences,Physical Sciences,Neuroscience,Computer Science,5510,W2116360511,"Receptive fields, binocular interaction and functional architecture in the cat's visual cortex",W2166982406,Multifrequency channel decompositions of images and wavelet models
citation_paper_cites_prize_paper,Chemistry,Chemistry,Physical Sciences,Physical Sciences,Chemistry,Chemistry,43835,W2154165252,Polymerisation von Äthylen und anderen Olefinen,W2029266122,Transition Metal-Mediated Cycloaddition Reactions
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Medicine,Life Sciences,Health Sciences,"Biochemistry, Genetics and Molecular Biology",Medicine,58874,W2030522563,Continuous cultures of fused cells secreting antibody of predefined specificity,W2086278983,Isolation and quantification of soluble Alzheimer's β-peptide from biological fluids
citation_paper_cites_prize_paper,Medicine,Medicine,Health Sciences,Health Sciences,Medicine,Medicine,62453,W1929691604,The Technique of Free Skin Grafting in Mammals,W2080064179,Biological effects of cyclosporin A: A new antilymphocytic agent
citation_paper_cites_prize_paper,Engineering,Physics and Astronomy,Physical Sciences,Physical Sciences,Engineering,Physics and Astronomy,10724,W1983718136,Resonance Absorption by Nuclear Magnetic Moments in a Solid,W2110820154,Photonic band-gap structures
citation_paper_cites_prize_paper,Physics and Astronomy,Chemistry,Physical Sciences,Physical Sciences,Physics and Astronomy,Chemistry,26922,W2070302549,Application of Fourier Transform Spectroscopy to Magnetic Resonance,W968790055,Carbon-13 Nuclear Magnetic Resonance Spectroscopy of Monosaccharides
citation_paper_cites_prize_paper,Physics and Astronomy,Physics and Astronomy,Physical Sciences,Physical Sciences,Physics and Astronomy,Physics and Astronomy,294511,W2030976617,Inhomogeneous Electron Gas,W2073773252,Linear scaling electronic structure methods
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Neuroscience,Life Sciences,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Neuroscience,11533,W2009310436,A comprehensive set of sequence analysis programs for the VAX,W1919210158,Cloning and characterization of chi-1: a developmentally regulated member of a novel class of the ionotropic glutamate receptor family
citation_paper_cites_prize_paper,Environmental Science,Neuroscience,Physical Sciences,Life Sciences,Environmental Science,Neuroscience,1577,W2138270253,DNA sequencing with chain-terminating inhibitors,W1919210158,Cloning and characterization of chi-1: a developmentally regulated member of a novel class of the ionotropic glutamate receptor family
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Veterinary,Life Sciences,Health Sciences,"Biochemistry, Genetics and Molecular Biology",Veterinary,285,W1993834457,Site-directed mutagenesis by gene targeting in mouse embryo-derived stem cells,W2067049479,Disruption of the murine IL-4 gene blocks Th2 cytokine responses
citation_paper_cites_prize_paper,Neuroscience,Medicine,Life Sciences,Health Sciences,Neuroscience,Medicine,9530,W2009667219,Improved patch-clamp techniques for high-resolution current recording from cells and cell-free membrane patches,W1992045485,Electrophysiology of the pancreatic β-cell
citation_paper_cites_prize_paper,Chemistry,Environmental Science,Physical Sciences,Physical Sciences,Chemistry,Environmental Science,12727,W1986113254,"THE ADSORPTION OF GASES ON PLANE SURFACES OF GLASS, MICA AND PLATINUM.",W1969302318,Colloid mobilization and transport in groundwater
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Immunology and Microbiology,Life Sciences,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Immunology and Microbiology,8967,W2320556745,<b>Solid Phase Peptide Synthesis. I. The Synthesis of a Tetrapeptide</b>,W4255507877,Peptide antibiotics
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology","Biochemistry, Genetics and Molecular Biology",Life Sciences,Life Sciences,"Biochemistry, Genetics and Molecular Biology","Biochemistry, Genetics and Molecular Biology",192579,W1983534198,The Complete Atomic Structure of the Large Ribosomal Subunit at 2.4 Å Resolution,W2166117980,Structural basis for the interaction of antibiotics with the peptidyl transferase centre in eubacteria
citation_paper_cites_prize_paper,Chemistry,Physics and Astronomy,Physical Sciences,Physical Sciences,Chemistry,Physics and Astronomy,13484,W2049635189,On the Interaction of Electrons in Metals,W2036330668,Exchange-correlation energy of a metallic surface: Wave-vector analysis
citation_paper_cites_prize_paper,Physics and Astronomy,Neuroscience,Physical Sciences,Life Sciences,Physics and Astronomy,Neuroscience,2280,W2730405628,On the movement of small particles suspended in a stationary liquid demanded by the molecular-kinetic theory of heart,W1845163922,Quantitative Ultrastructural Analysis of Hippocampal Excitatory Synapses
citation_paper_cites_prize_paper,Immunology and Microbiology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Life Sciences,Immunology and Microbiology,"Biochemistry, Genetics and Molecular Biology",3307,W2129319296,Defective LPS Signaling in C3H/HeJ and C57BL/10ScCr Mice: Mutations in <i>Tlr4</i> Gene,W2083682196,HSP70 as Endogenous Stimulus of the Toll/Interleukin-1 Receptor Signal Pathway
citation_paper_cites_prize_paper,Engineering,Engineering,Physical Sciences,Physical Sciences,Engineering,Engineering,9645,W2001716999,Tunneling Through Thin Insulating Layers,W2059217336,Electric Tunnel Effect between Dissimilar Electrodes Separated by a Thin Insulating Film
citation_paper_cites_prize_paper,Physics and Astronomy,"Biochemistry, Genetics and Molecular Biology",Physical Sciences,Life Sciences,Physics and Astronomy,"Biochemistry, Genetics and Molecular Biology",9228,W2074770586,Investigation of exchange processes by two-dimensional NMR spectroscopy,W2146088099,Conformation and Biological Activity of Cyclic Peptides
citation_paper_cites_prize_paper,Materials Science,Materials Science,Physical Sciences,Physical Sciences,Materials Science,Materials Science,51569,W2058122340,Electric Field Effect in Atomically Thin Carbon Films,W2049372046,Graphene and boron nitride lateral heterostructures for atomically thin circuitry
citation_paper_cites_prize_paper,Medicine,"Biochemistry, Genetics and Molecular Biology",Health Sciences,Life Sciences,Medicine,"Biochemistry, Genetics and Molecular Biology",24271,W2048075051,über Induktion von Embryonalanlagen durch Implantation artfremder Organisatoren,W2033418096,"Follistatin, an antagonist of activin, is expressed in the Spemann organizer and displays direct neuralizing activity"
citation_paper_cites_prize_paper,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Physical Sciences,Life Sciences,Environmental Science,"Biochemistry, Genetics and Molecular Biology",39727,W2138270253,DNA sequencing with chain-terminating inhibitors,W2033418096,"Follistatin, an antagonist of activin, is expressed in the Spemann organizer and displays direct neuralizing activity"
citation_paper_cites_prize_paper,Physics and Astronomy,Earth and Planetary Sciences,Physical Sciences,Physical Sciences,Physics and Astronomy,Earth and Planetary Sciences,6756,W2030976617,Inhomogeneous Electron Gas,W2078321088,Quantum-mechanical theory of stress and force
citation_paper_cites_prize_paper,Environmental Science,Medicine,Physical Sciences,Health Sciences,Environmental Science,Medicine,14707,W2138270253,DNA sequencing with chain-terminating inhibitors,W2108293406,Mutations in the <i>MDR</i> 3 gene cause progressive familial intrahepatic cholestasis
citation_paper_cites_prize_paper,Neuroscience,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Life Sciences,Neuroscience,"Biochemistry, Genetics and Molecular Biology",22062,W2097400197,The effect of sodium ions on the electrical activity of the giant axon of the squid,W2158699967,Intracellular pH regulation in the renal proximal tubule of the salamander. Basolateral HCO3- transport.
citation_paper_cites_prize_paper,Arts and Humanities,Psychology,Social Sciences,Social Sciences,Arts and Humanities,Psychology,30,W2523278764,THE NATURE OF CONDUCTION OF AN IMPULSE IN THE RELATIVELY REFRACTORY PERIOD,W2092741127,The refractory phase of voluntary and associative responses.
citation_paper_cites_prize_paper,Chemistry,Earth and Planetary Sciences,Physical Sciences,Physical Sciences,Chemistry,Earth and Planetary Sciences,834,W2315929257,Molecular Size Distribution in Linear Condensation Polymers<sup>1</sup>,W2147603876,Progress of nanocrystalline growth kinetics based on oriented attachment
citation_paper_cites_prize_paper,Physics and Astronomy,Materials Science,Physical Sciences,Physical Sciences,Physics and Astronomy,Materials Science,63674,W2030976617,Inhomogeneous Electron Gas,W2053802818,"Electronic and magnetic properties of<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mn>3</mml:mn><mml:mi>d</mml:mi></mml:mrow></mml:math>transition-metal atom adsorbed graphene and graphene nanoribbons"
citation_paper_cites_prize_paper,Medicine,Physics and Astronomy,Health Sciences,Physical Sciences,Medicine,Physics and Astronomy,1536,W2020623316,Image Formation by Induced Local Interactions: Examples Employing Nuclear Magnetic Resonance,W1991744090,MRI of the lungs using hyperpolarized noble gases
citation_paper_cites_prize_paper,Nursing,"Biochemistry, Genetics and Molecular Biology",Health Sciences,Life Sciences,Nursing,"Biochemistry, Genetics and Molecular Biology",876,W2409039558,CONVERSION OF PHOSPHORYLASE b TO PHOSPHORYLASE a IN MUSCLE EXTRACTS,W2073887637,The Family of Glycogen Phosphorylases: Structure and Functio
citation_paper_cites_prize_paper,Materials Science,Physics and Astronomy,Physical Sciences,Physical Sciences,Materials Science,Physics and Astronomy,8915,W1991101760,A New Microscopic Principle,W4249023884,White-light diffraction tomography of unlabelled live cells
citation_paper_cites_prize_paper,Materials Science,Engineering,Physical Sciences,Physical Sciences,Materials Science,Engineering,13951,W1993209440,Electrical Conductivity in Doped Polyacetylene,W2084206465,Conformational Molecular Switch of the Azobenzene Molecule: A Scanning Tunneling Microscopy Study
citation_paper_cites_prize_paper,Physics and Astronomy,Engineering,Physical Sciences,Physical Sciences,Physics and Astronomy,Engineering,39831,W2230728100,Self-Consistent Equations Including Exchange and Correlation Effects,W2084206465,Conformational Molecular Switch of the Azobenzene Molecule: A Scanning Tunneling Microscopy Study
citation_paper_cites_prize_paper,Immunology and Microbiology,Immunology and Microbiology,Life Sciences,Life Sciences,Immunology and Microbiology,Immunology and Microbiology,13674,W2129319296,Defective LPS Signaling in C3H/HeJ and C57BL/10ScCr Mice: Mutations in <i>Tlr4</i> Gene,W1588312796,Apoptosis Induced by the Toll-Like Receptor Adaptor TRIF Is Dependent on Its Receptor Interacting Protein Homotypic Interaction Motif
citation_paper_cites_prize_paper,Agricultural and Biological Sciences,Agricultural and Biological Sciences,Life Sciences,Life Sciences,Agricultural and Biological Sciences,Agricultural and Biological Sciences,2588,W2006788765,A gene complex controlling segmentation in Drosophila,W2167892440,The developmental basis for allometry in insects
citation_paper_cites_prize_paper,Physics and Astronomy,Energy,Physical Sciences,Physical Sciences,Physics and Astronomy,Energy,3581,W1965245884,Giant Magnetoresistance of (001)Fe/(001)Cr Magnetic Superlattices,W2113111618,"Fe3O4 nanostructures: synthesis, growth mechanism, properties and applications"
citation_paper_cites_prize_paper,Medicine,Health Professions,Health Sciences,Health Sciences,Medicine,Health Professions,313,W1964719327,Ein Beitrag zur Chemotherapie der bakteriellen Infektionen,W4246349758,Struvite stones
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Chemistry,Life Sciences,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Chemistry,6350,W2014815386,The principles of conformational analysis,W2074849341,The total synthesis of reserpine
citation_paper_cites_prize_paper,Chemistry,Engineering,Physical Sciences,Physical Sciences,Chemistry,Engineering,10797,W1703910647,I. <i>On the constitution of atoms and molecules</i>,W2168578815,Ion implantation of titanium based biomaterials
citation_paper_cites_prize_paper,Medicine,Neuroscience,Health Sciences,Life Sciences,Medicine,Neuroscience,3537,W2079512683,The regulation of respiration and circulation during the initial stages of muscular work,W1506365821,Brain Stem Mechanisms for Generation and Control of Breathing Pattern
citation_paper_cites_prize_paper,Materials Science,Chemistry,Physical Sciences,Physical Sciences,Materials Science,Chemistry,2858,W2058122340,Electric Field Effect in Atomically Thin Carbon Films,W2093899323,"Reduced graphene oxide/nickel nanocomposites: facile synthesis, magnetic and catalytic properties"
citation_paper_cites_prize_paper,Engineering,Chemistry,Physical Sciences,Physical Sciences,Engineering,Chemistry,1486,W2065744907,Radioactive Element 93,W2159784593,The Transuranium Elements
citation_paper_cites_prize_paper,Chemistry,"Pharmacology, Toxicology and Pharmaceutics",Physical Sciences,Life Sciences,Chemistry,"Pharmacology, Toxicology and Pharmaceutics",903,W2102110064,Specification of Molecular Chirality,W2074243254,The FDA perspective on the development of stereoisomers
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Agricultural and Biological Sciences,Life Sciences,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Agricultural and Biological Sciences,13770,W2029987769,Labeling deoxyribonucleic acid to high specific activity in vitro by nick translation with DNA polymerase I,W1543101582,Rhizobium phaseoli symbiotic mutants with transposon Tn5 insertions
citation_paper_cites_prize_paper,Earth and Planetary Sciences,Earth and Planetary Sciences,Physical Sciences,Physical Sciences,Earth and Planetary Sciences,Earth and Planetary Sciences,3409,W1971991115,The influence of nitrogen oxides on the atmospheric ozone content,W2064302020,A chronology of human understanding of the nitrogen cycle <sup />
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Physics and Astronomy,Life Sciences,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Physics and Astronomy,5019,W2067287942,Microscopy by reconstructed wave-fronts,W2160794025,Observation of Aharonov-Bohm Effect by Electron Holography
citation_paper_cites_prize_paper,Neuroscience,Environmental Science,Life Sciences,Physical Sciences,Neuroscience,Environmental Science,618,W1985940938,A quantitative description of membrane current and its application to conduction and excitation in nerve,W4211213555,Electric Organs
citation_paper_cites_prize_paper,Physics and Astronomy,Computer Science,Physical Sciences,Physical Sciences,Physics and Astronomy,Computer Science,12192,W2592799394,The Quantum Theory of Optical Coherence,W2051898668,Nondestructive Detection of an Optical Photon
citation_paper_cites_prize_paper,Environmental Science,Engineering,Physical Sciences,Physical Sciences,Environmental Science,Engineering,1427,W2138270253,DNA sequencing with chain-terminating inhibitors,W2088895458,The Two Major Xylanases from Trichoderma Reesei: Characterization of Both Enzymes and Genes
citation_paper_cites_prize_paper,Arts and Humanities,Chemistry,Social Sciences,Physical Sciences,Arts and Humanities,Chemistry,972,W2000547662,Synthesen in der hydroaromatischen Reihe,W2011367379,Diels–Alder Cycloaddition‐Cycloreversion: A Powerful Combo in Materials Design
citation_paper_cites_prize_paper,Medicine,Immunology and Microbiology,Health Sciences,Life Sciences,Medicine,Immunology and Microbiology,3967,W2011580247,Isolation and characterization of autophagy‐defective mutants of <i>Saccharomyces cerevisiae</i>,W2021011570,Genome-Wide Analyses of Steroid- and Radiation-Triggered Programmed Cell Death in Drosophila
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Unknown Citation Field,Life Sciences,Unknown Domain,"Biochemistry, Genetics and Molecular Biology",,813,W1647075334,Potent and specific genetic interference by double-stranded RNA in Caenorhabditis elegans,W2655290038,Coronaviruses
citation_paper_cites_prize_paper,Agricultural and Biological Sciences,Unknown Citation Field,Life Sciences,Unknown Domain,Agricultural and Biological Sciences,,99,W2046171723,PLAQUE FORMATION AND ISOLATION OF PURE LINES WITH POLIOMYELITIS VIRUSES,W2655290038,Coronaviruses
citation_paper_cites_prize_paper,Neuroscience,Engineering,Life Sciences,Physical Sciences,Neuroscience,Engineering,5558,W1985940938,A quantitative description of membrane current and its application to conduction and excitation in nerve,W2067709814,"Energy-Efficient Neuron, Synapse and STDP Integrated Circuits"
citation_paper_cites_prize_paper,Chemical Engineering,Chemical Engineering,Physical Sciences,Physical Sciences,Chemical Engineering,Chemical Engineering,610,W2148849027,Coil-stretch transition of dilute flexible polymers under ultrahigh velocity gradients,W2028404626,A Microfluidic Rectifier: Anisotropic Flow Resistance at Low Reynolds Numbers
citation_paper_cites_prize_paper,Computer Science,Computer Science,Physical Sciences,Physical Sciences,Computer Science,Computer Science,2175,W2025623691,Quantum Rabi Oscillation: A Direct Test of Field Quantization in a Cavity,W2001398023,Generating and Probing a Two-Photon Fock State with a Single Atom in a Cavity
citation_paper_cites_prize_paper,Chemistry,Materials Science,Physical Sciences,Physical Sciences,Chemistry,Materials Science,13746,W1986113254,"THE ADSORPTION OF GASES ON PLANE SURFACES OF GLASS, MICA AND PLATINUM.",W2593770547,Superior Adsorption and Regenerable Dye Adsorbent Based on Flower-Like Molybdenum Disulfide Nanostructure
citation_paper_cites_prize_paper,Engineering,Materials Science,Physical Sciences,Physical Sciences,Engineering,Materials Science,2526,W2329751713,"THE ULTRA-CENTRIFUGE, A NEW INSTRUMENT FOR THE DETERMINATION OF SIZE AND DISTRIBUTION OF SIZE OF PARTICLE IN AMICROSCOPIC COLLOIDS",W2156463136,Length Fractionation of Carbon Nanotubes Using Centrifugation
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Engineering,Life Sciences,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Engineering,6243,W1647075334,Potent and specific genetic interference by double-stranded RNA in Caenorhabditis elegans,W2118017650,Engineering and functionalization of biomaterials via surface modification
citation_paper_cites_prize_paper,Engineering,Medicine,Physical Sciences,Health Sciences,Engineering,Medicine,2880,W2001024934,Reconstruction of Three Dimensional Structures from Electron Micrographs,W2030543911,Three-dimensional reconstruction of the fibres of sickle cell haemoglobin
citation_paper_cites_prize_paper,Environmental Science,Environmental Science,Physical Sciences,Physical Sciences,Environmental Science,Environmental Science,7270,W2051995369,The constitution and fundamental properties of solids and liquids,W2067673221,Arsenate adsorption on three types of granular schwertmannite
citation_paper_cites_prize_paper,Materials Science,"Biochemistry, Genetics and Molecular Biology",Physical Sciences,Life Sciences,Materials Science,"Biochemistry, Genetics and Molecular Biology",3725,W2058122340,Electric Field Effect in Atomically Thin Carbon Films,W2046216572,Bottom-up fabrication of two-dimensional carbon nitride and highly sensitive electrochemical sensors for mercuric ions
citation_paper_cites_prize_paper,Physics and Astronomy,Medicine,Physical Sciences,Health Sciences,Physics and Astronomy,Medicine,4797,W2009902266,Quantum tunnelling in a dissipative system,W1576289280,Bright Side of the Coulomb Blockade
citation_paper_cites_prize_paper,Mathematics,Materials Science,Physical Sciences,Physical Sciences,Mathematics,Materials Science,188,W2248814689,Fine Structure of the Hydrogen Atom by a Microwave Method,W2033893392,On Radiative Corrections to Electron Scattering
