direction,prize_paper_field,citation_paper_field,prize_paper_subfield,citation_paper_subfield,prize_paper_domain,citation_paper_domain,count,sample_prize_paper_id,sample_prize_paper_title,sample_citation_paper_id,sample_citation_paper_title
citation_paper_cites_prize_paper,Engineering,Chemistry,Aerospace Engineering,Spectroscopy,Physical Sciences,Physical Sciences,1,W2157392200,On some direct evidence for downward atmospheric reflection of electric rays,W2142551298,Light Propagation and Gas Absorption Studies in Turbid Media Using Tunable Diode Llaser Techniques
citation_paper_cites_prize_paper,Engineering,Physics and Astronomy,Aerospace Engineering,Statistical and Nonlinear Physics,Physical Sciences,Physical Sciences,3,W2157392200,On some direct evidence for downward atmospheric reflection of electric rays,W320828197,Electromagnetic mirrors in the sky: Accessible applications of Maxwell's equations
citation_paper_cites_prize_paper,Engineering,Decision Sciences,Aerospace Engineering,"Statistics, Probability and Uncertainty",Physical Sciences,Social Sciences,3,W2089912494,Local Reflection of Wireless Waves from the Upper Atmosphere,W2082251941,Communication modes of qeophysics: The case of ionospheric physics
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Physics and Astronomy,Aging,Acoustics and Ultrasonics,Life Sciences,Physical Sciences,3,W2032579724,Green Fluorescent Protein as a Marker for Gene Expression,W2051170323,Focusing light through living tissue
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology","Biochemistry, Genetics and Molecular Biology",Aging,Aging,Life Sciences,Life Sciences,3465,W1986006829,"Post-embryonic cell lineages of the nematode, Caenorhabditis elegans",W2169580261,VIVE LA DIFFÉRENCE: Males vs Females in Flies vs Worms
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Agricultural and Biological Sciences,Aging,Agronomy and Crop Science,Life Sciences,Life Sciences,6,W1969331809,Genetic control of programmed cell death in the nematode C. elegans,W2080735630,Induction of apoptosis and cleavage of poly(ADP-ribose) polymerase by cytopathic bovine viral diarrhea virus infection
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Chemistry,Aging,Analytical Chemistry,Life Sciences,Physical Sciences,1,W2032579724,Green Fluorescent Protein as a Marker for Gene Expression,W3093865543,Purification of green fluorescent protein using fast centrifugal partition chromatography
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Medicine,Aging,Anatomy,Life Sciences,Health Sciences,1,W1986006829,"Post-embryonic cell lineages of the nematode, Caenorhabditis elegans",W1966709604,"Nomarski images for learning the anatomy, with tips for mosaic analysis"
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Agricultural and Biological Sciences,Aging,Animal Science and Zoology,Life Sciences,Life Sciences,5,W2032579724,Green Fluorescent Protein as a Marker for Gene Expression,W2031665993,"Monitoring Lactobacillus plantarum BCC 9546 starter culture during fermentation of Nham, a traditional Thai pork sausage"
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Agricultural and Biological Sciences,Aging,Aquatic Science,Life Sciences,Life Sciences,3,W1969331809,Genetic control of programmed cell death in the nematode C. elegans,W1511428383,Induction of Apoptosis in Fish Cells by Hypertonic Stress
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Arts and Humanities,Aging,Archeology,Life Sciences,Social Sciences,1,W1969331809,Genetic control of programmed cell death in the nematode C. elegans,W2084739174,Death at the Dead Sea
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Computer Science,Aging,Artificial Intelligence,Life Sciences,Physical Sciences,6,W1969331809,Genetic control of programmed cell death in the nematode C. elegans,W4403691948,SpotMAX: a generalist framework for multi-dimensional automatic spot detection and quantification
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Physics and Astronomy,Aging,Astronomy and Astrophysics,Life Sciences,Physical Sciences,3,W1986006829,"Post-embryonic cell lineages of the nematode, Caenorhabditis elegans",W1977916817,Reduction: the Cheshire cat problem and a return to roots
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Physics and Astronomy,Aging,"Atomic and Molecular Physics, and Optics",Life Sciences,Physical Sciences,31,W2032579724,Green Fluorescent Protein as a Marker for Gene Expression,W3162260503,Resolving the ultrafast dynamics of the anionic green fluorescent protein chromophore in water
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Neuroscience,Aging,Behavioral Neuroscience,Life Sciences,Life Sciences,2,W2032579724,Green Fluorescent Protein as a Marker for Gene Expression,W2496775140,Overexpression of CRF in the BNST diminishes dysphoria but not anxiety-like behavior in nicotine withdrawing rats
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology","Biochemistry, Genetics and Molecular Biology",Aging,Biochemistry,Life Sciences,Life Sciences,5,W2032579724,Green Fluorescent Protein as a Marker for Gene Expression,W2806207306,"Camelina sativa, an oilseed at the nexus between model system and commercial crop"
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Medicine,Aging,Biochemistry,Life Sciences,Health Sciences,4,W1969331809,Genetic control of programmed cell death in the nematode C. elegans,W2283161350,The dietary phytochemical myricetin induces ROS-dependent breast cancer cell death
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Chemical Engineering,Aging,Bioengineering,Life Sciences,Physical Sciences,10,W2032579724,Green Fluorescent Protein as a Marker for Gene Expression,W2132468158,Automated platform for sensor-based monitoring and controlled assays of living cells and tissues
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Neuroscience,Aging,Biological Psychiatry,Life Sciences,Life Sciences,4,W1969331809,Genetic control of programmed cell death in the nematode C. elegans,W2080422713,“Killing the Blues”: A role for cellular suicide (apoptosis) in depression and the antidepressant response?
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Materials Science,Aging,Biomaterials,Life Sciences,Physical Sciences,7,W2032579724,Green Fluorescent Protein as a Marker for Gene Expression,W2996078000,Luminophore and Magnetic Multicore Nanoassemblies for Dual-Mode MRI and Fluorescence Imaging
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Engineering,Aging,Biomedical Engineering,Life Sciences,Physical Sciences,160,W2032579724,Green Fluorescent Protein as a Marker for Gene Expression,W2727897255,Investigation of lignin biosynthesis in sugarcane for improved lignocellulosic ethanol production
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology","Biochemistry, Genetics and Molecular Biology",Aging,Biophysics,Life Sciences,Life Sciences,1289,W2032579724,Green Fluorescent Protein as a Marker for Gene Expression,W2129006023,Seeing the Wood through the Trees: A Review of Techniques for Distinguishing Green Fluorescent Protein from Endogenous Autofluorescence
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology","Biochemistry, Genetics and Molecular Biology",Aging,Biotechnology,Life Sciences,Life Sciences,184,W2032579724,Green Fluorescent Protein as a Marker for Gene Expression,W2113731644,Orthotopic transplant mouse models with green fluorescent protein-expressing cancer cells to visualize metastasis and angiogenesis.
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology","Biochemistry, Genetics and Molecular Biology",Aging,Cancer Research,Life Sciences,Life Sciences,63,W1969331809,Genetic control of programmed cell death in the nematode C. elegans,W2026692684,Role of Ced-3/ICE-family proteases in staurosporine-induced programmed cell death.
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Medicine,Aging,Cardiology and Cardiovascular Medicine,Life Sciences,Health Sciences,31,W2032579724,Green Fluorescent Protein as a Marker for Gene Expression,W1904570190,Nonmuscle tropomyosin-4 requires coexpression with other low molecular weight isoforms for binding to thin filaments in cardiomyocytes
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology","Biochemistry, Genetics and Molecular Biology",Aging,Cell Biology,Life Sciences,Life Sciences,334,W2032579724,Green Fluorescent Protein as a Marker for Gene Expression,W2102350481,Motile Tubular Vacuole Systems
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Neuroscience,Aging,Cellular and Molecular Neuroscience,Life Sciences,Life Sciences,389,W1986006829,"Post-embryonic cell lineages of the nematode, Caenorhabditis elegans",W2972122386,Partially overlapping guidance pathways focus the activity of UNC-40/DCC along the anteroposterior axis of polarizing neuroblasts
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Engineering,Aging,Civil and Structural Engineering,Life Sciences,Physical Sciences,1,W2032579724,Green Fluorescent Protein as a Marker for Gene Expression,W2018786395,Study on Evaluation Method for PVA Fiber Distribution in Engineered Cementitious Composite
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology","Biochemistry, Genetics and Molecular Biology",Aging,Clinical Biochemistry,Life Sciences,Life Sciences,9,W2032579724,Green Fluorescent Protein as a Marker for Gene Expression,W1501820965,Rationale for a Conditional Knockout Mouse Model to Study Carnitine Palmitoyltransferase I Deficiencies
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Neuroscience,Aging,Cognitive Neuroscience,Life Sciences,Life Sciences,24,W1986006829,"Post-embryonic cell lineages of the nematode, Caenorhabditis elegans",W2171528204,Tilt Aftereffects in a Self-Organizing Model of the Primary Visual Cortex
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Medicine,Aging,Complementary and alternative medicine,Life Sciences,Health Sciences,4,W2032579724,Green Fluorescent Protein as a Marker for Gene Expression,W2493253425,Screening for health effects of herbs
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Engineering,Aging,Computational Mechanics,Life Sciences,Physical Sciences,4,W2032579724,Green Fluorescent Protein as a Marker for Gene Expression,W2105937717,Live cell imaging at the Munich ion microbeam SNAKE – a status report
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Computer Science,Aging,Computational Theory and Mathematics,Life Sciences,Physical Sciences,17,W1969331809,Genetic control of programmed cell death in the nematode C. elegans,W2028457798,Model systems in drug discovery: chemical genetics meets genomics
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Computer Science,Aging,Computer Networks and Communications,Life Sciences,Physical Sciences,1,W2032579724,Green Fluorescent Protein as a Marker for Gene Expression,W2342445879,Interfaces et sensorialité
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Computer Science,Aging,Computer Vision and Pattern Recognition,Life Sciences,Physical Sciences,6,W2032579724,Green Fluorescent Protein as a Marker for Gene Expression,W2000166390,Underwater fluorescence photography in the presence of ambient light
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Engineering,Aging,Control and Systems Engineering,Life Sciences,Physical Sciences,1,W2032579724,Green Fluorescent Protein as a Marker for Gene Expression,W3038008991,Development of soft sensors for monitoring and control of bioprocesses
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Medicine,Aging,Dermatology,Life Sciences,Health Sciences,3,W2032579724,Green Fluorescent Protein as a Marker for Gene Expression,W2306148707,Aus der Klinik und Poliklinik für Dermatologie und Allergologie der
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology","Biochemistry, Genetics and Molecular Biology",Aging,Developmental Biology,Life Sciences,Life Sciences,5,W1969331809,Genetic control of programmed cell death in the nematode C. elegans,W3049047644,Cell death in the developing vertebrate limb: A locally regulated mechanism contributing to musculoskeletal tissue morphogenesis and differentiation
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Neuroscience,Aging,Developmental Neuroscience,Life Sciences,Life Sciences,69,W1986006829,"Post-embryonic cell lineages of the nematode, Caenorhabditis elegans",W1994371461,Generation patterns of four groups of cholinergic neurons in rat cervical spinal cord: A combined tritiated thymidine autoradiographic and choline acetyltransferase immunocytochemical study
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Psychology,Aging,Developmental and Educational Psychology,Life Sciences,Social Sciences,2,W2032579724,Green Fluorescent Protein as a Marker for Gene Expression,W1935797156,Art in the Age of Genetic Engineering
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Environmental Science,Aging,Ecology,Life Sciences,Physical Sciences,128,W2032579724,Green Fluorescent Protein as a Marker for Gene Expression,W68018724,Deciphering the details of RNA aminoglycoside interactions: from atomistic models to biotechnological applications
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Agricultural and Biological Sciences,Aging,"Ecology, Evolution, Behavior and Systematics",Life Sciences,Life Sciences,23,W1986006829,"Post-embryonic cell lineages of the nematode, Caenorhabditis elegans",W4360782842,Meiofauna—Adapted to Life at the Limits
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology","Economics, Econometrics and Finance",Aging,Economics and Econometrics,Life Sciences,Social Sciences,2,W2032579724,Green Fluorescent Protein as a Marker for Gene Expression,W3214873810,Dynamics of complex systems inferred from multivariate time series
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Engineering,Aging,Electrical and Electronic Engineering,Life Sciences,Physical Sciences,23,W2032579724,Green Fluorescent Protein as a Marker for Gene Expression,W1604999098,Nanofabrication of bioinspired architectures with light harvesting proteins
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Chemistry,Aging,Electrochemistry,Life Sciences,Physical Sciences,1,W2032579724,Green Fluorescent Protein as a Marker for Gene Expression,W2043299036,Determination of Copper(II) Ion Concentration by Lifetime Measurements of Green Fluorescent Protein
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Materials Science,Aging,"Electronic, Optical and Magnetic Materials",Life Sciences,Physical Sciences,3,W2032579724,Green Fluorescent Protein as a Marker for Gene Expression,W2088283916,Looking at the Green Fluorescent Protein (GFP) chromophore from a different perspective: A computational insight
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Neuroscience,Aging,Endocrine and Autonomic Systems,Life Sciences,Life Sciences,13,W2032579724,Green Fluorescent Protein as a Marker for Gene Expression,W1981265742,Neuroanatomy of cells expressing clock genes inDrosophila: Transgenic manipulation of theperiod andtimeless genes to mark the perikarya of circadian pacemaker neurons and their projections
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology","Biochemistry, Genetics and Molecular Biology",Aging,Endocrinology,Life Sciences,Life Sciences,38,W2032579724,Green Fluorescent Protein as a Marker for Gene Expression,W2098009411,Locomotion and feeding ofAcanthamoebaat the waterâair interface of ponds
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Medicine,Aging,"Endocrinology, Diabetes and Metabolism",Life Sciences,Health Sciences,13,W2032579724,Green Fluorescent Protein as a Marker for Gene Expression,W2083746199,Transgenic mice expressing selected insulin-like growth factor-binding protein-5 fragments do not exhibit enhanced bone formation
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Environmental Science,Aging,Environmental Chemistry,Life Sciences,Physical Sciences,2,W2032579724,Green Fluorescent Protein as a Marker for Gene Expression,W2022860811,"Effects of relative humidity on infection, colonization and conidiation of<i><scp>M</scp>agnaporthe orzyae</i>on perennial ryegrass"
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Environmental Science,Aging,Environmental Engineering,Life Sciences,Physical Sciences,2,W2032579724,Green Fluorescent Protein as a Marker for Gene Expression,W2794610511,Current production as a rapid response expression reporter under micro-oxic and anoxic conditions
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Medicine,Aging,Epidemiology,Life Sciences,Health Sciences,134,W2032579724,Green Fluorescent Protein as a Marker for Gene Expression,W2026381557,Construction of Epstein–Barr Virus-Based Expression Vector Containing Mini-OriP
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Psychology,Aging,Experimental and Cognitive Psychology,Life Sciences,Social Sciences,2,W1969331809,Genetic control of programmed cell death in the nematode C. elegans,W4403855507,Neurodegeneration impairs the consolidation of developmentally synchronized behavioral patterns
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Chemical Engineering,Aging,Filtration and Separation,Life Sciences,Physical Sciences,1,W2032579724,Green Fluorescent Protein as a Marker for Gene Expression,W1978192455,Separation and partitioning of Green Fluorescent Protein from Escherichia coli homogenate in poly(ethylene glycol)/sodium-poly(acrylate) aqueous two-phase systems
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Agricultural and Biological Sciences,Aging,Food Science,Life Sciences,Life Sciences,28,W2032579724,Green Fluorescent Protein as a Marker for Gene Expression,W2956077829,"Combining Modules for Versatile and Optimal Labeling of Lactic Acid Bacteria: Two pMV158-Family Promiscuous Replicons, a Pneumococcal System for Constitutive or Inducible Gene Expression, and Two Fluorescent Proteins"
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Agricultural and Biological Sciences,Aging,General Agricultural and Biological Sciences,Life Sciences,Life Sciences,1,W2032579724,Green Fluorescent Protein as a Marker for Gene Expression,W2983138141,Genetic constructs creation using Golden Gate cloning method
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology","Biochemistry, Genetics and Molecular Biology",Aging,Genetics,Life Sciences,Life Sciences,431,W2032579724,Green Fluorescent Protein as a Marker for Gene Expression,W4214952373,"Z/EG, a double reporter mouse line that expresses enhanced green fluorescent protein upon cre‐mediated excision"
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Medicine,Aging,Genetics,Life Sciences,Health Sciences,21,W2032579724,Green Fluorescent Protein as a Marker for Gene Expression,W2080255173,Role of injured endothelial cells in the recruitment of human pulp cells
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Medicine,Aging,Geriatrics and Gerontology,Life Sciences,Health Sciences,3,W1969331809,Genetic control of programmed cell death in the nematode C. elegans,W2047559322,Signaling mechanisms regulating Wallerian degeneration
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Environmental Science,Aging,Global and Planetary Change,Life Sciences,Physical Sciences,11,W1986006829,"Post-embryonic cell lineages of the nematode, Caenorhabditis elegans",W4361772791,"Development of the central nervous system of the larva of the ascidian, Ciona intestinalis L"
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Computer Science,Aging,Hardware and Architecture,Life Sciences,Physical Sciences,1,W2032579724,Green Fluorescent Protein as a Marker for Gene Expression,W1983867171,Intelligent Trace and Evaluation for Parallel Programming Based on Architectural Details
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Social Sciences,Aging,Health,Life Sciences,Social Sciences,2,W1969331809,Genetic control of programmed cell death in the nematode C. elegans,W2337355347,"PREMIOS NOBEL 2002 EN FISIOLOGÍA, MEDI-"
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Environmental Science,Aging,"Health, Toxicology and Mutagenesis",Life Sciences,Physical Sciences,20,W1986006829,"Post-embryonic cell lineages of the nematode, Caenorhabditis elegans",W2134837005,Characterization of the effects of methylmercury on Caenorhabditis elegans
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Medicine,Aging,Hematology,Life Sciences,Health Sciences,15,W1986006829,"Post-embryonic cell lineages of the nematode, Caenorhabditis elegans",W1982669707,RUNX genes find a niche in stem cell biology
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Medicine,Aging,Hepatology,Life Sciences,Health Sciences,8,W2032579724,Green Fluorescent Protein as a Marker for Gene Expression,W2073592628,Subcellular localization of hepatitis E virus (HEV) replicase
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Arts and Humanities,Aging,History and Philosophy of Science,Life Sciences,Social Sciences,2,W1969331809,Genetic control of programmed cell death in the nematode C. elegans,W2741078850,In Defense of Methodological Mechanism: The Case of Apoptosis
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Agricultural and Biological Sciences,Aging,Horticulture,Life Sciences,Life Sciences,2,W2032579724,Green Fluorescent Protein as a Marker for Gene Expression,W2074089141,"Transformation with green fluorescent protein of Trichoderma harzianum 1051, a strain with biocontrol activity against Crinipellis perniciosa, the agentof witches'-broom disease of cocoa."
citation_paper_cites_prize_paper,"Biochemistry, Genetics and Molecular Biology",Immunology and Microbiology,Aging,Immunology,Life Sciences,Life Sciences,173,W1969331809,Genetic control of programmed cell death in the nematode C. elegans,W2385172485,Your neighbours matter – non-autonomous control of apoptosis in development and disease
